CaI	IP3	CaS	g	C	D	Robustness
0.1	0.05	1100.0	0.0	0.678125	1.609375	-83.64511
0.1	0.05	1100.0	0.0	0.678125	1.625	-84.101036
0.1	0.05	1100.0	0.0	0.678125	1.640625	-84.24185
0.1	0.05	1100.0	0.0	0.678125	1.65625	-85.092705
0.1	0.05	1100.0	0.0	0.678125	1.671875	-85.20664
0.1	0.05	1100.0	0.0	0.678125	1.6875	-85.32556
0.1	0.05	1100.0	0.0	0.678125	1.703125	-85.97327
0.1	0.05	1100.0	0.0	0.678125	1.71875	-86.07057
0.1	0.05	1100.0	0.0	0.678125	1.734375	-86.16848
0.1	0.05	1100.0	0.0	0.678125	1.75	-86.59192
0.1	0.05	1100.0	0.0	0.678125	1.765625	-86.76039
0.1	0.05	1100.0	0.0	0.678125	1.78125	-86.8355
0.1	0.05	1100.0	0.0	0.678125	1.796875	-86.90655
0.1	0.05	1100.0	0.0	0.678125	1.8125	-86.973175
0.1	0.05	1100.0	0.0	0.678125	1.828125	-87.034546
0.1	0.05	1100.0	0.0	0.678125	1.84375	-87.40815
0.1	0.05	1100.0	0.0	0.678125	1.859375	-87.44989
0.1	0.05	1100.0	0.0	0.678125	1.875	-87.486496
0.1	0.05	1100.0	0.0	0.678125	1.890625	-87.51795
0.1	0.05	1100.0	0.0	0.678125	1.90625	-87.544304
0.1	0.05	1100.0	0.0	0.678125	1.921875	-87.565796
0.1	0.05	1100.0	0.0	0.678125	2.078125	-88.00409
0.1	0.05	1100.0	0.0	0.678125	2.09375	-87.97586
0.1	0.05	1100.0	0.0	0.678125	2.109375	-88.162865
0.1	0.05	1100.0	0.0	0.678125	2.125	-88.12639
0.1	0.05	1100.0	0.0	0.678125	2.140625	-88.08676
0.1	0.05	1100.0	0.0	0.678125	2.15625	-88.04396
0.1	0.05	1100.0	0.0	0.678125	2.171875	-87.9979
0.1	0.05	1100.0	0.0	0.678125	2.1875	-88.156075
0.1	0.05	1100.0	0.0	0.678125	2.203125	-88.102684
0.1	0.05	1100.0	0.0	0.678125	2.21875	-88.04619
0.1	0.05	1100.0	0.0	0.678125	2.234375	-87.986145
0.1	0.05	1100.0	0.0	0.678125	2.25	-88.1232
0.1	0.05	1100.0	0.0	0.678125	2.265625	-74.86016
0.1	0.05	1100.0	0.0	0.678125	2.28125	-55.629833
0.1	0.05	1100.0	0.0	0.678125	2.296875	-36.163708
0.1	0.05	1100.0	0.0	0.678125	2.3125	-18.96048
0.1	0.05	1100.0	0.0	0.678125	2.328125	-7.148987
0.1	0.05	1100.0	0.0	0.678125	2.34375	-6.182991
0.1	0.05	1100.0	0.0	0.678125	2.359375	-5.7980423
0.1	0.05	1100.0	0.0	0.678125	2.375	-6.6467133
0.1	0.05	1100.0	0.0	0.678125	2.390625	-8.564476
0.1	0.05	1100.0	0.0	0.678125	2.40625	-9.133865
0.1	0.05	1100.0	0.0	0.678125	2.421875	-8.4614105
