CaI	IP3	CaS	g	k1	k2	Robustness
0.1	0.05	1100.0	0.0	0.39999998	0.1625	-0.18490615
0.1	0.05	1100.0	0.0	0.39999998	0.1640625	-0.19559518
0.1	0.05	1100.0	0.0	0.39999998	0.165625	-0.18990049
0.1	0.05	1100.0	0.0	0.39999998	0.16718751	-0.19356993
0.1	0.05	1100.0	0.0	0.39999998	0.16875	-0.20275214
0.1	0.05	1100.0	0.0	0.39999998	0.1703125	-0.20814732
0.1	0.05	1100.0	0.0	0.39999998	0.171875	-0.22107449
0.1	0.05	1100.0	0.0	0.39999998	0.1734375	-0.2111251
0.1	0.05	1100.0	0.0	0.39999998	0.17500001	-0.22079298
0.1	0.05	1100.0	0.0	0.39999998	0.1765625	-0.22039184
0.1	0.05	1100.0	0.0	0.39999998	0.178125	-0.2272344
0.1	0.05	1100.0	0.0	0.39999998	0.1796875	-0.22690901
0.1	0.05	1100.0	0.0	0.39999998	0.18125	-0.24021456
0.1	0.05	1100.0	0.0	0.39999998	0.18281251	-0.24709222
0.1	0.05	1100.0	0.0	0.39999998	0.184375	-0.2403883
0.1	0.05	1100.0	0.0	0.39999998	0.1859375	-0.2504188
0.1	0.05	1100.0	0.0	0.39999998	0.1875	-0.26045033
0.1	0.05	1100.0	0.0	0.41249996	0.1109375	0.012168258
0.1	0.05	1100.0	0.0	0.41249996	0.112500004	0.008121073
0.1	0.05	1100.0	0.0	0.41249996	0.1140625	0.007565379
0.1	0.05	1100.0	0.0	0.41249996	0.115625	1.8516183E-4
0.1	0.05	1100.0	0.0	0.41249996	0.1171875	0.0028474927
0.1	0.05	1100.0	0.0	0.41249996	0.118750006	-0.0077283382
0.1	0.05	1100.0	0.0	0.41249996	0.120312504	-0.008088887
0.1	0.05	1100.0	0.0	0.41249996	0.121875	-0.014252037
0.1	0.05	1100.0	0.0	0.41249996	0.1234375	-0.026091188
0.1	0.05	1100.0	0.0	0.41249996	0.125	-0.039191604
0.1	0.05	1100.0	0.0	0.41249996	0.1265625	-0.034553587
0.1	0.05	1100.0	0.0	0.41249996	0.128125	-0.045896202
0.1	0.05	1100.0	0.0	0.41249996	0.1296875	-0.05944866
0.1	0.05	1100.0	0.0	0.41249996	0.13125	-0.05738008
0.1	0.05	1100.0	0.0	0.41249996	0.1328125	-0.067014694
0.1	0.05	1100.0	0.0	0.41249996	0.134375	-0.07390177
0.1	0.05	1100.0	0.0	0.41249996	0.1359375	-0.082533
0.1	0.05	1100.0	0.0	0.41249996	0.1375	-0.08933145
0.1	0.05	1100.0	0.0	0.41249996	0.1390625	-0.083722025
0.1	0.05	1100.0	0.0	0.41249996	0.140625	-0.09816843
0.1	0.05	1100.0	0.0	0.41249996	0.1421875	-0.099395245
0.1	0.05	1100.0	0.0	0.41249996	0.14375	-0.10913864
0.1	0.05	1100.0	0.0	0.41249996	0.1453125	-0.1190882
0.1	0.05	1100.0	0.0	0.41249996	0.146875	-0.11719629
0.1	0.05	1100.0	0.0	0.41249996	0.1484375	-0.11961952
0.1	0.05	1100.0	0.0	0.41249996	0.15	-0.13014582
0.1	0.05	1100.0	0.0	0.41249996	0.1515625	-0.14085785
0.1	0.05	1100.0	0.0	0.41249996	0.153125	-0.13785484
0.1	0.05	1100.0	0.0	0.41249996	0.1546875	-0.14283648
0.1	0.05	1100.0	0.0	0.41249996	0.15625	-0.15406302
0.1	0.05	1100.0	0.0	0.41249996	0.1578125	-0.14549348
0.1	0.05	1100.0	0.0	0.41249996	0.159375	-0.15996537
0.1	0.05	1100.0	0.0	0.41249996	0.1609375	-0.16871956
0.1	0.05	1100.0	0.0	0.41249996	0.1625	-0.171509
0.1	0.05	1100.0	0.0	0.41249996	0.1640625	-0.17257467
0.1	0.05	1100.0	0.0	0.41249996	0.165625	-0.16474631
0.1	0.05	1100.0	0.0	0.41249996	0.16718751	-0.1769748
0.1	0.05	1100.0	0.0	0.41249996	0.16875	-0.18321648
0.1	0.05	1100.0	0.0	0.41249996	0.1703125	-0.1818929
0.1	0.05	1100.0	0.0	0.41249996	0.171875	-0.18113914
0.1	0.05	1100.0	0.0	0.41249996	0.1734375	-0.18727621
0.1	0.05	1100.0	0.0	0.41249996	0.17500001	-0.19964823
0.1	0.05	1100.0	0.0	0.41249996	0.1765625	-0.20914254
0.1	0.05	1100.0	0.0	0.41249996	0.178125	-0.19882426
0.1	0.05	1100.0	0.0	0.41249996	0.1796875	-0.20858303
0.1	0.05	1100.0	0.0	0.41249996	0.18125	-0.21249953
0.1	0.05	1100.0	0.0	0.41249996	0.18281251	-0.22580698
0.1	0.05	1100.0	0.0	0.41249996	0.184375	-0.21864465
0.1	0.05	1100.0	0.0	0.41249996	0.1859375	-0.22886881
0.1	0.05	1100.0	0.0	0.41249996	0.1875	-0.22622219
0.1	0.05	1100.0	0.0	0.41249996	0.1890625	-0.22962084
0.1	0.05	1100.0	0.0	0.42499998	0.109375	0.021663949
0.1	0.05	1100.0	0.0	0.42499998	0.1109375	0.020324588
0.1	0.05	1100.0	0.0	0.42499998	0.112500004	0.017225862
0.1	0.05	1100.0	0.0	0.42499998	0.1140625	0.0138127655
0.1	0.05	1100.0	0.0	0.42499998	0.115625	0.011643991
0.1	0.05	1100.0	0.0	0.42499998	0.1171875	0.00960575
0.1	0.05	1100.0	0.0	0.42499998	0.118750006	0.0077181756
0.1	0.05	1100.0	0.0	0.42499998	0.120312504	0.004043609
0.1	0.05	1100.0	0.0	0.42499998	0.121875	0.0045068413
0.1	0.05	1100.0	0.0	0.42499998	0.1234375	-0.0026767552
0.1	0.05	1100.0	0.0	0.42499998	0.125	-8.702874E-4
0.1	0.05	1100.0	0.0	0.42499998	0.1265625	-0.010497808
0.1	0.05	1100.0	0.0	0.42499998	0.128125	-0.013670921
0.1	0.05	1100.0	0.0	0.42499998	0.1296875	-0.020503104
0.1	0.05	1100.0	0.0	0.42499998	0.13125	-0.029899776
0.1	0.05	1100.0	0.0	0.42499998	0.1328125	-0.034996122
0.1	0.05	1100.0	0.0	0.42499998	0.134375	-0.04264611
0.1	0.05	1100.0	0.0	0.42499998	0.1359375	-0.050608814
0.1	0.05	1100.0	0.0	0.42499998	0.1375	-0.05869639
0.1	0.05	1100.0	0.0	0.42499998	0.1390625	-0.05844
0.1	0.05	1100.0	0.0	0.42499998	0.140625	-0.072514
0.1	0.05	1100.0	0.0	0.42499998	0.1421875	-0.06676966
0.1	0.05	1100.0	0.0	0.42499998	0.14375	-0.08107939
0.1	0.05	1100.0	0.0	0.42499998	0.1453125	-0.08299133
0.1	0.05	1100.0	0.0	0.42499998	0.146875	-0.092496306
0.1	0.05	1100.0	0.0	0.42499998	0.1484375	-0.094296455
0.1	0.05	1100.0	0.0	0.42499998	0.15	-0.09956214
